time_start_sec,draw_time_avg,janky_frames,missed_vsync_count,slow_ui_thread_count,slow_bitmap_uploads_count,slow_issue_draw_commands_count,draw_time_avg_ma,janky_frames_ma
4970,38.30583,0,0,0,0,0,38.018739142857136,19.0
5000,55.65046,20,19,20,20,1,40.321317714285705,15.428571428571429
5030,22.113235,4,1,3,0,1,38.019775142857135,16.0
5060,28.173656,3,1,2,1,2,39.55856599999999,15.571428571428571
5090,88.67783,4,3,3,2,1,46.565321285714276,9.714285714285714
5150,39.69384,5,0,1,0,4,43.981728714285694,5.571428571428571
5180,27.906515,25,2,8,1,21,42.931623714285706,8.714285714285714
5210,32.015823,37,7,13,4,26,42.03305128571428,14.0
5240,34.354618,10,2,6,4,4,38.990788142857134,12.571428571428571
5270,26.114092,2,1,2,1,1,39.562339142857134,12.285714285714286
5300,45.60261,0,0,0,0,0,42.0521897142857,11.857142857142858
5330,81.033356,33,3,10,2,28,40.96012199999999,16.0
5360,27.785975,20,4,7,4,16,39.25899842857142,18.142857142857142
5390,36.6355,13,1,4,0,10,40.505996285714275,16.428571428571427
5420,64.01136,3,1,1,0,2,45.07678728571427,11.571428571428571
5450,37.737926,3,1,2,0,1,45.560116999999984,10.571428571428571
5480,95.99679,2,1,1,0,1,55.54335957142856,10.571428571428571
5510,34.474804,25,5,11,5,17,53.95367299999998,14.142857142857142
5540,24.578712,3,1,2,1,1,45.88872385714284,9.857142857142858
5570,54.610794,4,1,2,0,3,49.72084085714284,7.571428571428571
5600,51.19562,2,0,1,0,2,51.80085799999999,6.0
5630,39.47578,4,1,2,0,4,48.295775142857124,6.142857142857143
5660,23.731226,12,0,1,0,7,46.29481799999998,7.428571428571429
5690,80.64806,0,0,0,0,0,44.10214228571427,7.142857142857143
5720,137.25626,5,0,1,0,3,58.78520742857142,4.285714285714286
5750,27.206686,29,1,5,2,21,59.16063228571427,8.0
5780,24.480667,8,1,2,0,6,54.85632842857142,8.571428571428571
5810,19.476534,6,2,4,1,4,50.32503042857142,9.142857142857142
5840,50.250164,8,4,8,7,4,51.86422814285714,9.714285714285714
5870,37.921616,0,0,0,0,0,53.89142671428571,8.0
5900,23.470728,2,0,1,0,1,45.72323642857142,8.285714285714286
5930,64.18182,0,0,0,0,0,35.284030714285706,7.571428571428571
5960,91.254196,1,0,1,0,0,44.433674999999994,3.5714285714285716
5990,19.706104,2,1,2,1,1,43.751594571428555,2.7142857142857144
6020,14.40723,0,0,0,0,0,43.02740828571428,1.8571428571428572
6050,126.45275,0,0,0,0,0,53.913491999999984,0.7142857142857143
6080,50.208447,26,11,17,12,13,55.66875357142857,4.428571428571429
6110,44.527985,0,0,0,0,0,58.67693314285714,4.142857142857143
6140,55.652824,7,3,4,2,5,57.458505142857135,5.142857142857143
6170,24.431915,29,2,7,1,24,47.91246499999999,9.142857142857142
6200,23.038593,10,1,2,0,8,48.38853485714285,10.285714285714286
6230,22.611988,14,0,3,1,8,49.56064314285714,12.285714285714286
6260,23.55666,21,2,6,0,16,34.861201714285706,15.285714285714286
6320,26.056852,33,7,11,4,27,31.410973857142853,16.285714285714285
6350,41.15483,16,9,11,9,6,30.929094571428568,18.571428571428573
6380,28.672499,0,0,0,0,0,27.07476242857142,17.571428571428573
6410,32.98713,0,0,0,0,0,28.29693599999999,13.428571428571429
6440,176.76326,0,0,0,0,0,50.25760271428571,12.0
6470,29.463123,34,6,13,2,27,51.23633628571428,14.857142857142858
6500,46.511135,0,0,0,0,0,54.51554699999999,11.857142857142858
6530,21.567408,0,0,0,0,0,53.87419785714285,7.142857142857143
6560,20.267883,29,5,13,3,23,50.890348285714275,9.0
6590,28.711563,6,0,2,0,3,50.895928857142856,9.857142857142858
6620,23.632467,1,0,0,0,0,49.559548428571425,10.0
6650,26.670227,0,0,0,0,0,28.117686571428568,10.0
6680,128.52754,8,4,7,5,1,42.26974614285713,6.285714285714286
6710,37.99119,7,1,2,2,5,41.05261114285713,7.285714285714286
6740,39.057934,1,0,1,0,1,43.55125771428571,7.428571428571429
6770,10.694975,0,0,0,0,0,42.18369942857142,3.2857142857142856
6800,119.32414,0,0,0,0,0,55.12835328571428,2.4285714285714284
6830,67.823975,5,1,4,3,2,61.441425857142846,3.0
6860,26.157372,2,1,1,0,1,61.368160857142854,3.2857142857142856
6890,25.790154,5,0,2,0,4,46.69139142857143,2.857142857142857
6920,36.740665,2,0,1,1,0,46.512744999999995,2.142857142857143
6950,27.08238,3,0,1,0,3,44.80195157142856,2.4285714285714284
6980,50.297283,22,19,21,19,3,50.45942414285714,5.571428571428571
7010,83.21779,7,1,2,0,6,45.301374142857135,6.571428571428571
7040,36.503235,8,0,5,2,6,40.826982714285705,7.0
7100,23.52857,5,0,1,0,3,40.451439571428566,7.428571428571429
7130,156.16985,7,2,4,1,5,59.07711042857142,7.714285714285714
7160,78.135994,24,6,15,5,20,64.99072885714284,10.857142857142858
7220,42.635895,0,0,0,0,0,67.21265957142857,10.428571428571429
7250,99.68278,0,0,0,0,0,74.26773057142857,7.285714285714286
7280,95.381355,31,4,11,1,26,76.0053827142857,10.714285714285714
7310,29.04605,22,2,6,0,16,74.94007057142856,12.714285714285714
7340,22.572443,8,0,2,0,6,74.80348099999999,13.142857142857142
7370,81.24325,3,2,1,0,2,64.09968099999999,12.571428571428571
7400,150.85367,0,0,0,0,0,74.48792042857141,9.142857142857142
7430,97.8701,0,0,0,0,0,82.37852114285714,9.142857142857142
7460,40.8728,0,0,0,0,0,73.97709542857142,9.142857142857142
7490,68.6087,0,0,0,0,0,70.15243042857142,4.714285714285714
7520,195.78862,0,0,0,0,0,93.97279757142857,1.5714285714285714
7550,41.15381,0,0,0,0,0,96.62727857142855,0.42857142857142855
7580,127.705185,0,0,0,0,0,103.26469785714285,0.0
